Collectivite;Budget;Exercice;I_F;D_R;Nature;SousFonction;Exécuté;Libellé nature;Libellé fonction
VILLE;1;2005;F;D;61522;412;20647,74; ENTRETIEN ET REPARATIONS BATIMENTS;STADES
VILLE;1;2005;F;D;6042;23;783685,29; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2005;F;D;6331;64;154119,08; VERSEMENT DE TRANSPORT;CRECHES ET GARDERIES
VILLE;1;2005;F;D;6065;322;3547,75; LIVRES DISQUES CASSETTES;MUSEES
VILLE;1;2005;F;D;6184;48;3794,57; VERSEMENTS A DES ORGANISMES DE FORMATION;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2005;F;D;60612;823;30290,84; ENERGIE ET ELECTRICITE;ESPACES VERTS URBAINS
VILLE;1;2005;F;D;60631;422;476,57; FOURNITURES D'ENTRETIEN;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;6331;30;8660,29; VERSEMENT DE TRANSPORT;SERVICES COMMUNS
VILLE;1;2005;F;D;6064;822;24710,44; FOURNITURES ADMINISTRATIVES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;F;D;6241;412;1430,42; TRANSPORT DE BIENS;STADES
VILLE;1;2005;F;D;6042;820;52888,36; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;SERVICES COMMUNS
VILLE;1;2005;F;D;615221;421;8185,39; ENTRETIEN ET REP BAT PUBLICS;CENTRES DE LOISIRS
VILLE;1;2005;F;D;6288;20;664,48; AUTRES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;I;R;10222;;7833676,25; F.C.T.V.A.;
VILLE;1;2005;F;D;615221;251;24836,9; ENTRETIEN ET REP BAT PUBLICS;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2005;F;D;61522;20;259998,2; ENTRETIEN ET REPARATIONS BATIMENTS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;I;D;16882;;11384,09; ICNE PROCEDURES DE CONTREPASSATION;
VILLE;1;2005;F;D;61523;822;1078788,51; ENTRETIEN ET REPARATIONS VOIES ET RESEAUX;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;I;D;2183;323;5500; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;ARCHIVES
VILLE;1;2005;F;D;614;324;2433,64; CHARGES LOCATIVES ET DE COPROPRIETE;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2005;F;D;6236;823;7058,75; CATALOGUES ET IMPRIMES;ESPACES VERTS URBAINS
VILLE;1;2005;I;D;2313;211;4413872,46; IMMOBILISATIONS EN COURS CONSTRUCTION;ECOLES MATERNELLES
VILLE;1;2005;F;D;6535;21;8871,47; FORMATIONS ELUS;ASSEMBLEE LOCALE
VILLE;1;2005;F;D;6282;421;106,03; FRAIS DE GARDIENNAGE;CENTRES DE LOISIRS
VILLE;1;2005;F;D;61522;212;378566,61; ENTRETIEN ET REPARATIONS BATIMENTS;ECOLES PRIMAIRES
VILLE;1;2005;I;R;1321;112;35465,45; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;POLICE MUNICIPALE
VILLE;1;2005;F;D;6232;251;1797,78; FETES ET CEREMONIES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2005;I;D;16818;;22219,9; AUTRES EMPRUNTS AUTRES PRETEURS;
VILLE;1;2005;F;D;6262;822;539,91; FRAIS DE TELECOMMUNICATIONS;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;I;R;1323;823;78534; SUBV EQUIP NON TRANSF DEPARTE;ESPACES VERTS URBAINS
VILLE;1;2005;F;R;758;21;9759,35; Produits divers de gestion cou;ASSEMBLEE LOCALE
VILLE;1;2005;F;D;60222;20;264153,51; PRODUITS D'ENTRETIEN;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;R;7911;112;25550,8; Indemnites de sinistres;POLICE MUNICIPALE
VILLE;1;2005;F;D;615232;91;214959,55; ENTRETIEN ET REP RESEAUX;FOIRES ET MARCHES
VILLE;1;2005;F;D;6331;21;4837,9; VERSEMENT DE TRANSPORT;ASSEMBLEE LOCALE
VILLE;1;2005;F;D;6218;30;39053,43; AUTRE PERSONNEL EXTERIEUR;SERVICES COMMUNS
VILLE;1;2005;F;D;60632;91;819,99; FOURNITURES DE PETIT EQUIPEMENT;FOIRES ET MARCHES
VILLE;1;2005;F;D;6451;64;1629824,05; COTISATIONS A L'URSSAF;CRECHES ET GARDERIES
VILLE;1;2005;F;R;70848;20;411717,75; MISE A DISPOSITION DU PERSONNEL AUX AUTRES ORGANISMES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;6488;21;19518,7; AUTRES CHARGES;ASSEMBLEE LOCALE
VILLE;1;2005;F;D;6453;112;820486,42; COTISATIONS AUX CAISSES DE RETRAITES;POLICE MUNICIPALE
VILLE;1;2005;F;D;6236;322;688,42; CATALOGUES ET IMPRIMES;MUSEES
VILLE;1;2005;F;D;6453;321;201,93; COTISATIONS AUX CAISSES DE RETRAITES;BIBLIOTHEQUES ET MEDIATHEQUES
VILLE;1;2005;F;D;60612;422;210460,36; ENERGIE ET ELECTRICITE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;R;7064;12;15937,7; TAXES DE DESINFECTION  (SERVICES D'HYGIENE);HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2005;F;D;60612;26;3839,64; ENERGIE ET ELECTRICITE;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2005;F;D;6228;30;1450; DIVERS;SERVICES COMMUNS
VILLE;1;2005;F;D;6574;421;21550; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;CENTRES DE LOISIRS
VILLE;1;2005;F;D;6042;812;88501,87; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;COLLECTE ET TRAITEMENT DES ORDURES MENAGERES
VILLE;1;2005;F;D;6135;90;33408,03; LOCATIONS MOBILIERES;INTERVENTIONS ECONOMIQUES
VILLE;1;2005;F;R;758;30;8390,95; Produits divers de gestion cou;SERVICES COMMUNS
VILLE;1;2005;F;D;6156;821;494613,32; MAINTENANCE;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;I;D;2312;64;93340,54; IMMOBILISATIONS EN COURS TERRAINS;CRECHES ET GARDERIES
VILLE;1;2005;F;D;60633;40;423,77; FOURNITURES DE VOIRIE;SERVICES COMMUNS
VILLE;1;2005;F;D;6711;211;27823,54; CHARGES EXCEPTIONNELLES POUR INTERETS MORATOIRES ET PENALITES SUR MARCHES;ECOLES MATERNELLES
VILLE;1;2005;F;D;64831;820;14460; INDEMNITES AUX AGENTS;SERVICES COMMUNS
VILLE;1;2005;F;D;6042;20;555274,27; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;I;D;2313;421;16720,78; IMMOBILISATIONS EN COURS CONSTRUCTION;CENTRES DE LOISIRS
VILLE;1;2005;F;R;70878;821;98099,21; REMBOURSEMENT DE FRAIS PAR D'AUTRES REDEVABLES;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;F;R;757;821;888159,5; REDEVANCES VERSEES PAR LES FERMIERS ET CONCESSIONNAIRES;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;I;D;2188;24;76278,4; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;FETES ET CEREMONIES
VILLE;1;2005;F;D;6711;816;1163,63; CHARGES EXCEPTIONNELLES POUR INTERETS MORATOIRES ET PENALITES SUR MARCHES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2005;F;R;778;251;2677,76; AUTRES PRODUITS EXCEPTIONNELS;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2005;F;D;6714;422;20227; CHARGES EXCEPTIONNELLES SUR BOURSES ET PRIX;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;6227;422;535,89; FRAIS D'ACTE ET DE CONTENTIEUX;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;64111;323;430084,72; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ARCHIVES
VILLE;1;2005;F;D;64131;12;6549,82; REMUNERATION;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2005;I;D;16441;;31200000; EMPRUNT ASSORTI TIRAGE SUR LIGNE DE TRESORERIE;
VILLE;1;2005;I;D;165;;58051,47; DEPOTS ET CAUTIONNEMENTS RECUS;
VILLE;1;2005;F;D;60632;24;26142,12; FOURNITURES DE PETIT EQUIPEMENT;FETES ET CEREMONIES
VILLE;1;2005;F;D;60632;20;299293,83; FOURNITURES DE PETIT EQUIPEMENT;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;64118;422;280794,68; AUTRES INDEMNITES PERSONNEL TITULAIRE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;6488;323;18860,1; AUTRES CHARGES;ARCHIVES
VILLE;1;2005;I;D;2183;64;2774,72; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;CRECHES ET GARDERIES
VILLE;1;2005;F;R;7473;;92140; SUBVENTIONS ET PARTICIPATIONS DEPARTEMENTS;
VILLE;1;2005;F;D;6331;422;29956,4; VERSEMENT DE TRANSPORT;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;65737;422;4170800; SUBVENTIONS DE FONCTIONNEMENT AUX AUTRES ETABLISSEMENTS PUBLICS LOCAUX;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;60621;823;708,63; COMBUSTIBLES;ESPACES VERTS URBAINS
VILLE;1;2005;I;R;16818;;14242,18; AUTRES EMPRUNTS AUTRES PRETEURS;
VILLE;1;2005;F;R;764;20;31601; REVENUS DES VALEURS MOBILIERES DE PLACEMENT;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;637;;63366,88; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);
VILLE;1;2005;F;D;65735;323;80000; SUBVENTIONS DE FONCTIONNEMENT AUX GROUPEMENTS DE COLLECTIVITES;ARCHIVES
VILLE;1;2005;F;D;6531;21;995559,69; INDEMNITES DES MAIRES ADJOINTS ET CONSEILLERS;ASSEMBLEE LOCALE
VILLE;1;2005;F;D;6453;30;90714,65; COTISATIONS AUX CAISSES DE RETRAITES;SERVICES COMMUNS
VILLE;1;2005;I;R;1323;313;50300; SUBV EQUIP NON TRANSF DEPARTE;THEATRES
VILLE;1;2005;F;D;6451;820;249035,72; COTISATIONS A L'URSSAF;SERVICES COMMUNS
VILLE;1;2005;I;D;2188;48;6166,36; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2005;F;D;6064;821;3558,98; FOURNITURES ADMINISTRATIVES;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;F;D;6227;30;869,66; FRAIS D'ACTE ET DE CONTENTIEUX;SERVICES COMMUNS
VILLE;1;2005;F;D;6237;23;728442,49; PUBLICATIONS;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2005;F;R;758;421;2220; Produits divers de gestion cou;CENTRES DE LOISIRS
VILLE;1;2005;F;D;60628;821;10622,39; AUTRES FOURNITURES NON STOCKEES;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;I;D;205;112;8940,1; CONCESSIONS ET DROITS SIMILAIRES BREVETS LICENCES MARQUES PROCEDES DROITS ET VAL;POLICE MUNICIPALE
VILLE;1;2005;F;D;64112;814;12289,42; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;ECLAIRAGE PUBLIC
VILLE;1;2005;I;D;2138;824;12247742,99; AUTRES CONSTRUCTIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;F;R;7911;211;2055,48; Indemnites de sinistres;ECOLES MATERNELLES
VILLE;1;2005;F;D;6574;422;68400; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;6188;22;3366,98; AUTRES FRAIS DIVERS;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2005;I;D;2313;12;380,1; IMMOBILISATIONS EN COURS CONSTRUCTION;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2005;I;R;28188;;3036574,14; AUTRES;
VILLE;1;2005;F;R;70688;251;296646,86; AUTRES PRESTATIONS DE SERVICES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2005;F;D;6231;30;97634,39; ANNONCES ET INSERTIONS;SERVICES COMMUNS
VILLE;1;2005;F;D;673;;158781,76; TITRES ANNULES SUR EXERCICES ANTERIEURS;
VILLE;1;2005;F;D;6574;90;48930; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;INTERVENTIONS ECONOMIQUES
VILLE;1;2005;F;D;6042;415;33684,98; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;MANIFESTATIONS SPORTIVES
VILLE;1;2005;F;D;6331;251;25581,32; VERSEMENT DE TRANSPORT;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2005;I;D;2183;212;84960,91; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;ECOLES PRIMAIRES
VILLE;1;2005;F;R;775;824;7539821,38; PRODUITS DES CESSIONS D'IMMOBILISATIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;I;D;2315;824;4444870,29; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;F;D;617;820;16875,76; ETUDES ET RECHERCHES;SERVICES COMMUNS
VILLE;1;2005;F;R;757;90;76516,47; REDEVANCES VERSEES PAR LES FERMIERS ET CONCESSIONNAIRES;INTERVENTIONS ECONOMIQUES
VILLE;1;2005;F;D;6132;422;22142,78; LOCATIONS IMMOBILIERES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;6231;822;6199,41; ANNONCES ET INSERTIONS;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;F;D;6064;824;2358,52; FOURNITURES ADMINISTRATIVES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;F;D;64131;816;64633,81; REMUNERATION;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2005;F;D;60636;64;18004,76; VETEMENTS DE TRAVAIL;CRECHES ET GARDERIES
VILLE;1;2005;F;D;60628;91;9368,91; AUTRES FOURNITURES NON STOCKEES;FOIRES ET MARCHES
VILLE;1;2005;F;D;64731;22;3547,2; ALLOC CHOM;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2005;F;R;778;823;1124,18; AUTRES PRODUITS EXCEPTIONNELS;ESPACES VERTS URBAINS
VILLE;1;2005;F;D;6064;91;2142,64; FOURNITURES ADMINISTRATIVES;FOIRES ET MARCHES
VILLE;1;2005;F;R;70323;821;627535,42; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;F;D;6261;823;606,18; FRAIS D'AFFRANCHISSEMENT;ESPACES VERTS URBAINS
VILLE;1;2005;F;D;60628;824;370,96; AUTRES FOURNITURES NON STOCKEES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;F;D;64831;251;5602,04; INDEMNITES AUX AGENTS;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2005;I;D;2313;322;254160,85; IMMOBILISATIONS EN COURS CONSTRUCTION;MUSEES
VILLE;1;2005;F;D;60632;22;1936,69; FOURNITURES DE PETIT EQUIPEMENT;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2005;F;D;6572;824;106022,51; SUBVENTIONS DE FONCTIONNEMENT AUX PERSONNES DE DROIT PRIVE;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;I;D;2184;823;48771,47; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;ESPACES VERTS URBAINS
VILLE;1;2005;F;D;6451;91;104199,43; COTISATIONS A L'URSSAF;FOIRES ET MARCHES
VILLE;1;2005;F;D;6262;824;3145,05; FRAIS DE TELECOMMUNICATIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;F;R;7088;24;3211,33; AUTRES PRODUITS D ACTIVITES ANNEXES;FETES ET CEREMONIES
VILLE;1;2005;F;D;60632;823;153099,42; FOURNITURES DE PETIT EQUIPEMENT;ESPACES VERTS URBAINS
VILLE;1;2005;F;D;6262;91;2629,42; FRAIS DE TELECOMMUNICATIONS;FOIRES ET MARCHES
VILLE;1;2005;F;D;61523;816;28788,53; ENTRETIEN ET REPARATIONS VOIES ET RESEAUX;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2005;F;D;6244;20;240,91; TRANSPORTS ADMINISTRATIFS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;I;R;1323;211;344899,5; SUBV EQUIP NON TRANSF DEPARTE;ECOLES MATERNELLES
VILLE;1;2005;I;R;165;;70316,55; DEPOTS ET CAUTIONNEMENTS RECUS;
VILLE;1;2005;F;R;757;816;1541843,47; REDEVANCES VERSEES PAR LES FERMIERS ET CONCESSIONNAIRES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2005;I;D;2183;20;482306,51; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;I;D;2315;822;35083697,99; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;F;D;64112;323;7699,26; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;ARCHIVES
VILLE;1;2005;I;D;2183;412;969,96; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;STADES
VILLE;1;2005;I;R;1323;12;3811; SUBV EQUIP NON TRANSF DEPARTE;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2005;F;D;6156;22;14569,78; MAINTENANCE;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2005;F;D;64131;48;60325,14; REMUNERATION;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2005;F;D;6331;323;7587,58; VERSEMENT DE TRANSPORT;ARCHIVES
VILLE;1;2005;F;D;6331;814;7064,36; VERSEMENT DE TRANSPORT;ECLAIRAGE PUBLIC
VILLE;1;2005;F;D;67443;822;136850,89; SUBVENTIONS EXCEPTIONNELLES AUX FERMIERS ET AUX CONCESSIONNAIRES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;F;R;746;;1161568; DOTATION GENERALE DE DECENTRALISATION;
VILLE;1;2005;I;D;2031;20;1480,05; FRAIS D'ETUDES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;64111;64;8216955,69; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;CRECHES ET GARDERIES
VILLE;1;2005;F;R;7718;822;309000; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;F;D;6262;821;14599,05; FRAIS DE TELECOMMUNICATIONS;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;I;R;1321;823;50478; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;ESPACES VERTS URBAINS
VILLE;1;2005;I;R;16882;;10681,21; ICNE PROCEDURES DE CONTREPASSATION;
