Code Nature Chapitre;Libellé Nature Chapitre;Libellé court Nature Chapitre;Type de chapitre;Section;Spécial;Année;Norme;Plan comptable;Entité
040;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;I;0;2018;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
27;Autres immobilisations financières;Autres immobilisations financières;C;I;0;2013;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
012;Charges de personnel et frais assimilés;Charges de personnel et frais assimilés;G;F;0;2023;M57;M57-M57_D;Métropoles et collectivités territoriales uniques (Plan développé)
21;Immobilisations corporelles;Immobilisations corporelles;C;I;0;2019;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
001;Solde d'exécution de la section d'investissement reporté;Solde exécution invest. reporté;L;I;0;2020;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
77;Produits exceptionnels;Produits exceptionnels;C;F;0;2020;M52;M52-M52;Départements
45621;Opérations d'investissement sur établissements d'enseignement remis au département;Opérat° invest. établist enseignt départ;C;I;0;2018;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
040;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;I;0;2018;M4;M4-M42;Services publics des abattoirs
13;Subventions d'investissement;Subventions d'investissement;C;I;0;2023;M71;M71-M71;Régions
040;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;I;0;2017;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
22;Immobilisations reçues en affectation ou en concession;Immobilisations reçues en affectation;C;I;0;2018;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
76;Produits financiers;Produits financiers;C;F;0;2014;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
13;Subventions d'investissement;Subventions d'investissement;C;I;0;2015;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
78;Reprises sur provisions et dépréciations;Reprises sur provisions et dépréciations;C;F;0;2019;M4;M4-M42;Services publics des abattoirs
043;Opérations d'ordre à l'intérieur de la section de fonctionnement;Opérat° ordre intérieur de la section;G;F;0;2022;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
017;RSA / Régularisations de RMI;RSA / Régularisations de RMI;G;F;1;2018;M57;M57-M57;Métropoles et collectivités territoriales uniques
042;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;F;0;2023;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
043;Opérations d'ordre à l'intérieur de la section de fonctionnement;Opérat° ordre intérieur de la section;G;F;0;2016;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
023;Virement à la section d'investissement;Virement à la section d'investissement;L;F;0;2019;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
042;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;F;0;2015;M14;M14-M14_CE;Caisses des écoles
020;Dépenses imprévues;Dépenses imprévues;L;I;0;2019;M14;M14-M14_CE;Caisses des écoles
011;Charges à caractère général;Charges à caractère général;G;F;0;2019;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
23;Immobilisations en cours;Immobilisations en cours;C;I;0;2019;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
731;Impositions directes;Impôts locaux;C;F;0;2017;M57;M57-M57;Métropoles et collectivités territoriales uniques
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2017;M4;M4-M4;Services publics locaux à caractère industriel et commercial
4542;Travaux effectués d'office pour le compte de tiers;Travaux effectués d'office;C;I;0;2016;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
76;Produits financiers;Produits financiers;C;F;0;2019;M52;M52-M52;Départements
020;Dépenses imprévues;Dépenses imprévues;L;I;0;2014;M61;M61-M61;Service départemental d'incendie et de secours
66;Charges financières;Charges financières;C;F;0;2022;M4;M4-M44;Etablissements publics fonciers locaux
10;Dotations, fonds divers et réserves;Dotations, fonds divers et réserves;C;I;0;2014;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
68;Dotations aux provisions semi-budgétaires;Dotations provisions semi-budgétaires;C;F;0;2018;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
66;Charges financières;Charges financières;C;F;0;2017;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
024;Produits des cessions d'immobilisations;Produits des cessions d'immobilisations;L;I;0;2014;M14;M14-M14_COM_500_3500;Communes avec entre 500 et 3500 habitants
4582;Opérations sous mandat;Opérations sous mandat;C;I;0;2023;M57;M57-M57_D;Métropoles et collectivités territoriales uniques (Plan développé)
041;Opérations patrimoniales;Opérations patrimoniales;G;I;0;2017;M4;M4-M42;Services publics des abattoirs
4541;Travaux effectués d'office pour le compte de tiers;Travaux effectués d'office;C;I;0;2021;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
26;Participations et créances rattachées à des participations;Participat° et créances rattachées;C;I;0;2020;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
023;Virement à la section d'investissement;Virement à la section d'investissement;L;F;0;2016;M71;M71-M71;Régions
68;Dotations aux provisions et aux dépréciations;Dotations aux provisions et dépréciat°;C;F;0;2017;M4;M4-M4;Services publics locaux à caractère industriel et commercial
65;Autres charges de gestion courante;Autres charges de gestion courante;C;F;0;2023;M57;M57-M57_A;Métropoles et collectivités territoriales uniques (Plan abrégé)
66;Charges financières;Charges financières;C;F;0;2017;M14;M14-M14_CE;Caisses des écoles
77;Produits exceptionnels;Produits exceptionnels;C;F;0;2022;M4;M4-M44;Etablissements publics fonciers locaux
043;Opérations d'ordre à l'intérieur de la section de fonctionnement;Opérat° ordre intérieur de la section;G;F;0;2019;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
18;Compte de liaison : affectation (budgets annexes);Compte de liaison : affectation (BA);C;I;0;2020;M61;M61-M61;Service départemental d'incendie et de secours
021;Virement de la section de fonctionnement;Virement de la section de fonctionnement;L;I;0;2017;M71;M71-M71;Régions
041;Opérations patrimoniales;Opérations patrimoniales;G;I;0;2023;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
021;Virement de la section de fonctionnement;Virement de la section de fonctionnement;L;I;0;2023;M61;M61-M61;Service départemental d'incendie et de secours
70;Ventes de produits fabriqués, prestations de services, marchandises;Ventes produits fabriqués, prestations;C;F;0;2014;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
26;Participations et créances rattachées à des participations;Participat° et créances rattachées;C;I;0;2021;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
001;Solde d'exécution de la section d'investissement reporté;Solde exécution invest. reporté;L;I;0;2014;M4;M4-M4;Services publics locaux à caractère industriel et commercial
042;Opérations d'ordre de transfert entre sections;Opérations d'ordre entre sections;G;F;0;2021;M61;M61-M61;Service départemental d'incendie et de secours
012;Charges de personnel et frais assimilés;Charges de personnel, frais assimilés;G;F;0;2019;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
4551;Opérations d'investissement sur EPLE;Opérations d'investissement sur EPLE;C;I;0;2018;M71;M71-M71;Régions
040;Opérations d'ordre de transfert entre sections;Opérations d'ordre entre sections;G;I;0;2014;M61;M61-M61;Service départemental d'incendie et de secours
001;Solde d'exécution de la section d'investissement reporté;Solde exécution invest. reporté;L;I;0;2023;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
4582;Opérations pour le compte de tiers;Opérations pour le compte de tiers;C;I;0;2015;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
012;Charges de personnel et frais assimilés;Charges de personnel et frais assimilés;G;F;0;2020;M52;M52-M52;Départements
77;Produits exceptionnels;Produits exceptionnels;C;F;0;2021;M4;M4-M44;Etablissements publics fonciers locaux
022;Dépenses imprévues;Dépenses imprévues;L;F;0;2015;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2023;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
010;Stocks;Stocks;G;I;0;2019;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
45412;Travaux effectués d'office;Travaux effectués d'office;C;I;0;2018;M57;M57-M57;Métropoles et collectivités territoriales uniques
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2015;M4;M4-M42;Services publics des abattoirs
014;Atténuations de produits;Atténuations de produits;G;F;0;2018;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
014;Atténuations de produits;Atténuations de produits;G;F;0;2022;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
042;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;F;0;2018;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
001;Solde d'exécution de la section d'investissement reporté;Solde d'exécution de la section d'invest;L;I;0;2019;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
012;Charges de personnel et frais assimilés;Charges de personnel et frais assimilés;G;F;0;2021;M61;M61-M61;Service départemental d'incendie et de secours
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2022;M71;M71-M71;Régions
76;Produits financiers;Produits financiers;C;F;0;2013;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
27;Autres immobilisations financières;Autres immobilisations financières;C;I;0;2019;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
041;Opérations patrimoniales;Opérations patrimoniales;G;I;0;2020;M71;M71-M71;Régions
020;Dépenses imprévues;Dépenses imprévues;L;I;0;2014;M4;M4-M42;Services publics des abattoirs
4582;Opérations pour le compte de tiers;Opérations pour le compte de tiers;C;I;0;2019;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
45421;Opérations de remembrement;Opérations de remembrement;C;I;0;2019;M57;M57-M57;Métropoles et collectivités territoriales uniques
45422;Opérations de remembrement;Opérations de remembrement;C;I;0;2017;M52;M52-M52;Départements
013;Atténuations de charges;Atténuations de charges;G;F;0;2016;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
040;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;I;0;2015;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
040;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;I;0;2021;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
27;Autres immobilisations financières;Autres immobilisations financières;C;I;0;2019;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
22;Immobilisations reçues en affectation;Immobilisations reçues en affectation;C;I;0;2023;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
26;Participations et créances rattachées à des participations;Participat° et créances rattachées;C;I;0;2018;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
27;Autres immobilisations financières;Autres immobilisations financières;C;I;0;2022;M4;M4-M44;Etablissements publics fonciers locaux
65;Autres charges de gestion courante;Autres charges de gestion courante;C;F;0;2018;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
18;Compte de liaison : affectation (budgets annexes - régies non personnalisées);Compte de liaison : affectat° (BA,régie);C;I;0;2013;M14;M14-M14_CE;Caisses des écoles
76;Produits financiers;Produits financiers;C;F;0;2017;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
26;Participations et créances rattachées à des participations;Participat° et créances rattachées;C;I;0;2018;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
23;Immobilisations en cours;Immobilisations en cours;C;I;0;2019;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
76;Produits financiers;Produits financiers;C;F;0;2021;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
45621;Opérations d'investissement sur établissements d'enseignement remis au département;Opérat° invest. établist enseignt départ;C;I;0;2015;M14;M14-M14_COM_500_3500;Communes avec entre 500 et 3500 habitants
040;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;I;0;2015;M4;M4-M42;Services publics des abattoirs
014;Atténuations de produits;Atténuations de produits;G;F;0;2016;M14;M14-M14_COM_500_3500;Communes avec entre 500 et 3500 habitants
4551;Opérations d'investissement sur EPLE;Opérations d'investissement sur EPLE;C;I;0;2015;M57;M57-M57;Métropoles et collectivités territoriales uniques
76;Produits financiers;Produits financiers;C;F;0;2017;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
021;Virement de la section d'exploitation;Virement de la section d'exploitation;L;I;0;2014;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
67;Charges exceptionnelles;Charges exceptionnelles;C;F;0;2015;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
012;Charges de personnel et frais assimilés;Charges de personnel et frais assimilés;G;F;0;2019;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
70;Produits des services, du domaine et ventes diverses;Prod. services, domaine, ventes diverses;C;F;0;2021;M61;M61-M61;Service départemental d'incendie et de secours
024;Produits des cessions d'immobilisations;Produits des cessions d'immobilisations;L;I;0;2023;M57;M57-M57_D;Métropoles et collectivités territoriales uniques (Plan développé)
23;Immobilisations en cours;Immobilisations en cours;C;I;0;2022;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
4582;Opérations pour le compte de tiers;Opérations pour le compte de tiers;C;I;0;2015;M4;M4-M42;Services publics des abattoirs
041;Opérations patrimoniales;Opérations patrimoniales;G;I;0;2019;M61;M61-M61;Service départemental d'incendie et de secours
76;Produits financiers;Produits financiers;C;F;0;2019;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
023;Virement à la section d'investissement;Virement à la section d'investissement;L;F;0;2016;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
76;Produits financiers;Produits financiers;C;F;0;2017;M57;M57-M57;Métropoles et collectivités territoriales uniques
66;Charges financières;Charges financières;C;F;0;2020;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
27;Autres immobilisations financières;Autres immobilisations financières;C;I;0;2015;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
18;Compte de liaison : affectation (budgets annexes - régies non personnalisées);Compte de liaison : affectat° (BA,régie);C;I;0;2019;M4;M4-M42;Services publics des abattoirs
45441;Opérations d'aménagement foncier;Opérations d'aménagement foncier;C;I;0;2023;M57;M57-M57_P;
22;Immobilisations reçues en affectation;Immobilisations reçues en affectation;C;I;0;2018;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
26;Participations et créances rattachées à des participations;Participat° et créances rattachées;C;I;0;2019;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
22;Immobilisations reçues en affectation;Immobilisations reçues en affectation;C;I;0;2020;M57;M57-M57;Métropoles et collectivités territoriales uniques
16;Emprunts et dettes assimilées;Emprunts et dettes assimilées;C;I;0;2020;M61;M61-M61;Service départemental d'incendie et de secours
68;Dotations aux provisions et aux dépréciations;Dotations aux provisions et dépréciat°;C;F;0;2022;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
27;Autres immobilisations financières;Autres immobilisations financières;C;I;0;2014;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
012;Charges de personnel et frais assimilés;Charges de personnel et frais assimilés;G;F;0;2023;M52;M52-M52;Départements
020;Dépenses imprévues;Dépenses imprévues;L;I;0;2017;M57;M57-M57;Métropoles et collectivités territoriales uniques
13;Subventions d'investissement;Subventions d'investissement;C;I;0;2017;M57;M57-M57;Métropoles et collectivités territoriales uniques
66;Charges financières;Charges financières;C;F;0;2015;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
042;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;F;0;2019;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
73;Impôts et taxes;Impôts et taxes;C;F;0;2023;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
043;Opérations d'ordre à l'intérieur de la section de fonctionnement;Opérations ordre intérieur de la section;G;F;0;2023;M57;M57-M57_D;Métropoles et collectivités territoriales uniques (Plan développé)
45411;Travaux effectués d'office;Travaux effectués d'office;C;I;0;2023;M52;M52-M52;Départements
020;Dépenses imprévues;Dépenses imprévues;L;I;0;2018;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
021;Virement de la section de fonctionnement;Virement de la sect° de fonctionnement;L;I;0;2017;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
043;Opérations d'ordre à l'intérieur de la section de fonctionnement;Opérations d'ordre à l'intérieur de la s;G;F;0;2016;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
023;Virement à la section d'investissement;Virement à la section d'investissement;L;F;0;2021;M52;M52-M52;Départements
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2017;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
45431;Opérations de défenses contre la mer;Opérations de défenses contre la mer;C;I;0;2022;M52;M52-M52;Départements
26;Participations et créances rattachées à des participations;Participat° et créances rattachées;C;I;0;2020;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
26;Participations et créances rattachées à des participations;Participat° et créances rattachées;C;I;0;2015;M4;M4-M42;Services publics des abattoirs
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2016;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
69;Impôts sur les bénéfices et assimilés;Impôts sur les bénéfices et assimilés;C;F;0;2023;M4;M4-M43;Services publics locaux de transport de personnes
76;Produits financiers;Produits financiers;C;F;0;2016;M61;M61-M61;Service départemental d'incendie et de secours
22;Immobilisations reçues en affectation ou en concession;Immobilisations reçues en affectation;C;I;0;2017;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
70;Produits des services, du domaine et ventes diverses;Produits services, domaine et ventes div;C;F;0;2017;M14;M14-M14_CE;Caisses des écoles
76;Produits financiers;Produits financiers;C;F;0;2015;M4;M4-M42;Services publics des abattoirs
4581;Opérations pour le compte de tiers;Opérations pour le compte de tiers;C;I;0;2021;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
023;Virement à la section d'investissement;Virement à la section d'investissement;L;F;0;2015;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
002;Résultat de fonctionnement reporté;Résultat de fonctionnement reporté;L;F;0;2017;M14;M14-M14_CE;Caisses des écoles
45432;Opérations de défense contre la mer;Opérations de défense contre la mer;C;I;0;2020;M57;M57-M57;Métropoles et collectivités territoriales uniques
656;Frais de fonctionnement des groupes d'élus;Frais fonctionnement des groupes d'élus;C;F;0;2013;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
011;Charges à caractère général;Charges à caractère général;G;F;0;2013;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
012;Charges de personnel et frais assimilés;Charges de personnel et frais assimilés;G;F;0;2021;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
4582;Opérations sous mandat;Opérations sous mandat;C;I;0;2014;M52;M52-M52;Départements
77;Produits exceptionnels;Produits exceptionnels;C;F;0;2019;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
012;Charges de personnel et frais assimilés;Charges de personnel, frais assimilés;G;F;0;2022;M4;M4-M44;Etablissements publics fonciers locaux
013;Atténuations de charges;Atténuations de charges;G;F;0;2019;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
023;Virement à la section d'investissement;Virement à la section d'investissement;L;F;0;2015;M4;M4-M4;Services publics locaux à caractère industriel et commercial
012;Charges de personnel et frais assimilés;Charges de personnel, frais assimilés;G;F;0;2022;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
76;Produits financiers;Produits financiers;C;F;0;2021;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2015;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
67;Charges exceptionnelles;Charges exceptionnelles;C;F;0;2021;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
023;Virement à la section d'investissement;Virement à la section d'investissement;L;F;0;2020;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
014;Atténuations de produits;Atténuations de produits;G;F;0;2019;M4;M4-M42;Services publics des abattoirs
66;Charges financières;Charges financières;C;F;0;2016;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
